william,zawinski,123 fake ST,111@111.com,2589772,3,-1,1,-1,7,
frank,effin,123 william crecent,effin.frank263@gmail.com,05829463,4,6,8,12,20,
frank,effin,123 william crecent,effin.frank263@gmail.com,05829463,1,10,5,6,2,
frank,effin,123 william crecent,effin.frank263@gmail.com,05829463,1,0,0,0,0,
frank,effin,123 william crecent,effin.frank263@gmail.com,05829463,1,0,0,0,0,
pedro,frikelburg,123 william crecent,effin.frank263@gmail.com,05829463,15,24,100,56,3,
frank,effin,123 william crecent,effin.frank263@gmail.com,05829463,0,0,0,0,0,
frank,effin,123 william crecent,effin.frank263@gmail.com,05829463,0,0,0,0,0,
pedro,von stikelberg,173 casaway place,get.out.of.my.life@hotmail.com,0466611172,1,10,25,60000000000,1,
grogu,djarin,mandalore,not@avaliabull.never,00000000000000000000000000000000000000,0,0,0,0,0,
grogu,djarin,mandalore,not@avaliabull.never,00000000000000000000000000000000000000,258,5000000,20000000000000,69,99999999999999999999999999999999999999999999999999999999999999999999999999999,
